post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47766960,AI Will Never Be Ethical or Safe,technology,28,4,caisah,2026-04-14 21:22:41,0.13793103448275862,False
47765604,Rare concert recordings are landing on the Internet Archive,general,113,47,jrm-veris,2026-04-14 21:22:42,0.41228070175438597,False
47763759,jj – the CLI for Jujutsu,general,324,255,tigerlily,2026-04-14 21:22:43,0.7846153846153846,True
47760529,DaVinci Resolve – Photo,general,857,222,thebiblelover7,2026-04-14 21:22:43,0.25874125874125875,True
47760764,A new spam policy for “back button hijacking”,general,620,367,zdw,2026-04-14 21:22:44,0.5909822866344605,True
47764098,"NimConf 2026: Dates Announced, Registrations Open",general,74,14,moigagoo,2026-04-14 21:22:45,0.18666666666666668,False
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,technology,11,0,mc-serious,2026-04-14 21:22:46,0.0,False
47762864,Backblaze has stopped backing up your data,technology,564,346,rrreese,2026-04-14 21:22:46,0.6123893805309735,True
47766550,"The Future of Everything Is Lies, I Guess: Work",general,41,20,aphyr,2026-04-14 21:22:47,0.47619047619047616,False
47717192,The acyclic e-graph: Cranelift's mid-end optimizer,general,32,9,tekknolagi,2026-04-14 21:22:48,0.2727272727272727,False
47716840,Nucleus Nouns,general,9,2,bewal416,2026-04-14 21:22:49,0.2,False
47762641,Introspective Diffusion Language Models,general,144,34,zagwdt,2026-04-14 21:22:50,0.23448275862068965,False
47722629,Franklin's bad ads for Apple ][ clones and the beloved impersonator they depict,general,84,44,rfarley04,2026-04-14 21:22:50,0.5176470588235295,False
47704729,The M×N problem of tool calling and open-source models,general,65,19,remilouf,2026-04-14 21:22:51,0.2878787878787879,False
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,75,65,adulion,2026-04-14 21:22:52,0.8552631578947368,False
47761997,Distributed DuckDB Instance,general,115,27,citguru,2026-04-14 21:22:53,0.23275862068965517,False
47759709,Lean proved this program correct; then I found a bug,general,327,154,bumbledraven,2026-04-14 21:22:53,0.4695121951219512,True
47764265,The exponential curve behind open source backlogs,general,36,24,armanckeser,2026-04-14 21:22:54,0.6486486486486487,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,83,38,tie-in,2026-04-14 21:22:55,0.4523809523809524,False
47714770,Show HN: Run GUIs as Scripts,entertainment,9,2,zero-st4rs,2026-04-14 21:22:56,0.2,False
47755629,Someone bought 30 WordPress plugins and planted a backdoor in all of them,general,1086,306,speckx,2026-04-14 21:22:57,0.281508739650414,True
47759341,WiiFin – Jellyfin Client for Nintendo Wii,general,210,97,throwawayk7h,2026-04-14 21:22:57,0.4597156398104265,True
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,58,8,adunk,2026-04-14 21:22:58,0.13559322033898305,False
47711148,A soft robot has no problem moving with no motor and no gears,general,63,17,hhs,2026-04-14 21:22:59,0.265625,False
47705390,Lumina – a statically typed web-native language for JavaScript and WASM,general,43,17,light_ideas,2026-04-14 21:23:00,0.38636363636363635,False
47757495,GitHub Stacked PRs,general,827,455,ezekg,2026-04-14 21:23:01,0.5495169082125604,True
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,15,1,apollinaire,2026-04-14 21:23:02,0.0625,False
47728970,"Write less code, be more responsible",technology,140,86,orhunp_,2026-04-14 21:23:03,0.6099290780141844,False
47718284,Design and implementation of DuckDB internals,general,162,11,mpweiher,2026-04-14 21:23:04,0.06748466257668712,False
47752819,Make tmux pretty and usable (2024),general,418,254,speckx,2026-04-14 21:23:04,0.6062052505966588,True
47767191,"Google, Microsoft, Meta All Tracking You Even When You Opt Out",general,5,0,Cider9986,2026-04-14 21:23:05,0.0,False
47756321,How to make Firefox builds 17% faster,general,195,36,mbitsnbites,2026-04-14 21:23:06,0.1836734693877551,False
47708457,Rust Threads on the GPU,technology,101,31,PaulHoule,2026-04-14 21:23:07,0.30392156862745096,False
47753689,Building a CLI for all of Cloudflare,technology,321,104,soheilpro,2026-04-14 21:23:07,0.32298136645962733,True
47729350,I just want simple S3,general,205,109,g0xA52A2A,2026-04-14 21:23:08,0.529126213592233,True
47766330,To teach in the era of ChatGPT is to know pain,technology,6,1,ckemere,2026-04-14 21:23:09,0.14285714285714285,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,86,28,mufeedvh,2026-04-14 21:23:11,0.3218390804597701,False
47729046,Air Powered Segment Display? [video],technology,123,11,ProfDreamer,2026-04-14 21:23:13,0.08870967741935484,False
47764164,The Case Against Gameplay Loops,technology,44,45,coinfused,2026-04-14 21:23:17,1.0,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,137,33,galaxyLogic,2026-04-14 21:23:17,0.2391304347826087,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,457,251,m-hodges,2026-04-14 21:23:19,0.5480349344978166,True
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,159,42,cvrajeesh,2026-04-14 21:23:24,0.2625,False
47759292,The AI revolution in math has arrived,technology,96,49,sonabinu,2026-04-14 21:23:25,0.5051546391752577,False
47766164,90% of CEOs Say AI Changed Nothing. The Other 10% Have a PR Team,technology,28,12,mooreds,2026-04-14 21:23:27,0.41379310344827586,False
47750872,Servo is now available on crates.io,technology,460,147,ffin,2026-04-14 21:23:28,0.3188720173535792,True
47755209,B-trees and database indexes (2024),technology,111,41,tosh,2026-04-14 21:23:29,0.36607142857142855,False
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,worldnews,8,1,Bender,2026-04-14 21:23:30,0.1111111111111111,False
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,87,26,mfilion,2026-04-14 21:23:32,0.29545454545454547,False
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,87,43,bookofjoe,2026-04-14 21:23:33,0.48863636363636365,False
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,267,109,dvaughan,2026-04-14 21:23:38,0.40671641791044777,True
47733217,Exploiting the most prominent AI agent benchmarks,technology,580,140,Anon84,2026-04-14 21:23:39,0.24096385542168675,True
47766611,The AI School Bus Camera Company Blanketing America in Tickets,technology,28,43,jimt1234,2026-04-14 21:23:41,1.4827586206896552,False
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,7,4,derstruct,2026-04-14 21:23:48,0.5,False
47761371,Bear Roll – Daily roll of Bear Blog's top posts,technology,8,2,freediver,2026-04-14 21:23:48,0.2222222222222222,False
47761825,Roblox devs now need a subscription to share their games freely,sports,61,67,hallole,2026-04-14 21:23:51,1.0806451612903225,False
47763185,An open letter to the UK Government on digital privacy,worldnews,13,4,vsajip,2026-04-14 21:23:53,0.2857142857142857,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,510,292,a-ve,2026-04-14 21:24:03,0.5714285714285714,True
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,entertainment,5,4,whitemanv,2026-04-14 21:24:08,0.6666666666666666,False
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,129,38,radeeyate,2026-04-14 21:24:09,0.2923076923076923,False
47724352,Filing the corners off my MacBooks,entertainment,1398,672,normanvalentine,2026-04-14 21:24:10,0.48034310221586846,True
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,12,1,cebert,2026-04-14 21:24:11,0.07692307692307693,False
47757552,Show HN: Continual Learning with .md,entertainment,30,27,wenhan_zhou,2026-04-14 21:24:14,0.8709677419354839,False
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 21:24:22,0.0,False
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 21:24:28,0.21604938271604937,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-14 21:24:29,0.44398340248962653,True
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 21:24:44,0.24281150159744408,True
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,34,4,joe_mamba,2026-04-14 21:24:51,0.11428571428571428,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 21:24:58,0.6287015945330297,True
47698111,Bevy game development tutorials and in-depth resources,sports,139,71,GenericCanadian,2026-04-14 21:25:01,0.5071428571428571,False
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 21:25:03,0.23529411764705882,True
